dispatch_rank,package_id,city,zone_id,service_window_breach,intervention_priority,predicted_breach_probability,model_risk_rank_score,intervention_urgency_score,recommendation_source,risk_summary,evidence_summary,recommended_action,dispatcher_note,confidence,hallucination_flag,evidence_coverage_score,action_alignment_score,completeness_score,readability_score,overall_recommendation_score
11,P-6064270,Yantai,16,0,High,0.0353164967413359,0.969,0.70985,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0353.,"The model risk rank score (0.9690) indicates high risk, but the intervention priority is set to High.",Assign this task as a top priority and closely monitor its status.,Task P-6064270 in Yantai Zone ID 16 has a high intervention urgency score. Dispatch immediately.,medium,0,0.6,1.0,1.0,1.0,0.88
12,P-1982533,Shanghai,0,0,High,0.0266494614646031,0.929,0.7085166666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0266.,The model risk rank score and intervention urgency score highlight the importance of this task.,Assign an experienced courier to handle this high-priority task immediately.,"Ensure timely delivery, as missing the service window has a high priority due to its intervention priority level.",medium,0,0.8,0.0,1.0,1.0,0.69
13,P-3859088,Shanghai,0,0,High,0.0484304214144228,0.989,0.7078500000000001,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0484.,The model risk rank score of 0.9890 indicates high risk potential.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,Task P-3859088 in Shanghai has a moderate risk of missing its service window. Assign with priority.,medium,0,0.8,1.0,1.0,1.0,0.94
14,P-3745228,Yantai,16,0,High,0.0466681158577086,0.988,0.7071999999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0467.,"The model risk rank score (0.9880) indicates high risk potential, despite the intervention priority being high and low distance feasibility pressure score.",Assign this task to an experienced courier with a backup plan in case of delay.,Monitor the progress closely and be prepared for possible re-routing or delivery adjustments.,medium,0,1.0,1.0,1.0,1.0,1.0
15,P-5856369,Chongqing,3,0,High,0.025738761298622,0.9245,0.7039249999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0257.,High intervention priority and model risk rank score highlight significant concerns.,Prioritize this task for immediate dispatch to minimize risk of delay.,"Task P-5856369 in Chongqing, Zone ID 3 requires urgent attention due to high priority and moderate risk.",medium,0,0.6,1.0,1.0,1.0,0.88
16,P-4955744,Yantai,16,0,High,0.0500150779689054,0.99,0.7018333333333332,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0500.,High intervention priority and model risk rank score indicate significant concerns.,Assign the task to an experienced courier immediately.,Ensure the selected courier is aware of the high urgency and priority.,medium,0,0.8,0.0,1.0,1.0,0.69
17,P-2404138,Chongqing,3,0,High,0.0248627843291165,0.918,0.7013666666666666,ollama,Moderate risk of task missing service window due to intervention priority and predicted breach probability.,"Predicted breach probability (0.0249) indicates a slight risk of missing the service window, with an intervention priority set to high.",Assign a backup courier or adjust delivery time for task P-2404138.,Task has a moderate risk of delay; consider alternatives to ensure timely delivery.,medium,0,0.8,1.0,1.0,1.0,0.94
18,P-1489848,Shanghai,0,0,High,0.0302631691979297,0.9525,0.7007916666666667,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0303.,The model risk rank score (0.9525) indicates high risk potential.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,"Task P-1489848 in Shanghai has a high intervention priority, schedule it with care.",medium,0,0.8,1.0,1.0,1.0,0.94
19,P-33064,Yantai,16,0,High,0.0328999885496371,0.962,0.7002999999999999,ollama,Moderate risk of missing service window due to predicted breach probability and intervention priority.,Predicted breach probability (0.0329) and Intervention priority (High) highlight potential risks.,Assign a backup courier for immediate pickup or adjust the schedule to avoid rush hours.,Task P-33064 in Yantai Zone ID 16 has a high intervention priority and moderate risk of missing service window. Allocate additional resources if possible.,medium,0,0.8,1.0,1.0,1.0,0.94
20,P-3475556,Yantai,16,0,High,0.0992286677244701,0.999,0.7001833333333333,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0992.,"The model risk rank score is the strongest indicator at 0.9990, suggesting high reliability in predicting risks.",Assign an experienced courier to handle this task immediately.,High urgency score and low feasibility margin indicate a tight schedule; prioritize this task for immediate dispatch.,high,0,1.0,1.0,1.0,1.0,1.0
21,P-463135,Yantai,16,1,High,0.0527732892317456,0.992,0.6998000000000001,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0528.,"The model risk rank score (0.9920) indicates high reliability, but the intervention urgency score (0.6998) suggests immediate attention is needed.",Assign this task to a courier with priority and ensure they have clear instructions for expedited delivery.,Task P-463135 in Yantai has a high intervention priority; breach probability is low but urgency score indicates it needs immediate attention. Allocate resources accordingly.,medium,0,0.8,0.0,1.0,1.0,0.69
22,P-1492367,Yantai,16,0,High,0.0509378937334665,0.9905,0.6996583333333335,ollama,Task has a moderate risk of missing service window with a predicted breach probability of 0.0509 and a model risk rank score of 0.9905.,"The strongest evidence is the high intervention priority and the time to service-window end being only 191 minutes, indicating urgency.",Assign an experienced courier with minimal workload to handle this task immediately.,Task P-1492367 in Yantai requires immediate attention due to its high priority and proximity to the service window end. Allocate a skilled courier.,high,0,0.8,0.0,1.0,1.0,0.69
23,P-3752622,Chongqing,3,0,High,0.02476200497128,0.9165,0.6987249999999999,ollama,Moderate risk of missing service window due to predicted breach probability and model risk rank score.,Predicted breach probability (0.0248) and Model risk rank score (0.9165) indicate potential issues.,Assign a backup courier for immediate pickup.,"High intervention priority, high urgency score, and low feasibility margin suggest urgency in addressing this task.",medium,0,1.0,1.0,1.0,1.0,1.0
24,P-2015152,Chongqing,3,0,High,0.0240515967451717,0.9085,0.6960249999999999,ollama,The task has a moderate risk of missing its service window due to a predicted breach probability and model risk rank score.,Predicted breach probability (0.0241) and Model risk rank score (0.9085),"Assign priority to this task, as it has an intervention priority of High",Task P-2015152 in Chongqing Zone 3 requires immediate attention due to high intervention urgency and risk.,medium,0,0.6,0.0,1.0,1.0,0.63
25,P-1797415,Yantai,16,0,High,0.0379060808105341,0.9745,0.695925,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0379.,The model risk rank score of 0.9745 indicates high risk potential.,Assign this task to the most experienced courier.,Ensure the selected courier has completed similar tasks with minimal breaches in the past.,medium,0,0.8,0.0,1.0,1.0,0.69
26,P-1280429,Shanghai,0,1,High,0.05260619678681,0.9915,0.6953083333333333,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0526.,"The model risk rank score (0.9915) indicates high confidence in the prediction system, suggesting reliability.",Assign an experienced courier to handle this task immediately.,High urgency and feasibility margin allow for quick action without compromising safety.,high,0,1.0,0.0,1.0,1.0,0.75
27,P-4483547,Yantai,16,0,High,0.0397535653296463,0.9785,0.6951916666666667,ollama,Task has a moderate risk of missing service window due to predicted breach probability and high intervention priority.,Predicted breach probability (0.0398) indicates potential for delay.,Assign an additional courier to assist with the pickup.,"Task P-4483547 in Yantai, Zone ID 16 requires immediate attention due to high intervention priority and moderate risk of missing service window. Allocate extra resources if possible.",medium,0,0.8,0.0,1.0,1.0,0.69
28,P-1580130,Chongqing,3,0,High,0.024251561264434,0.9105,0.6948249999999999,ollama,Moderate risk of service window breach with a predicted probability of 0.0243 and a model risk rank score of 0.9105.,The strongest evidence is the high intervention priority and moderate time pressure score.,Assign an experienced courier to handle this task immediately.,"This task has a high urgency score, indicating it needs immediate attention due to its proximity to the service window end.",medium,0,0.8,0.0,1.0,1.0,0.69
29,P-2741249,Yantai,16,1,High,0.0334659028940515,0.9635,0.6946083333333334,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0335 and a model risk rank score of 0.9635.,The strongest evidence is the high intervention priority and the moderate risk level indicated by the predicted breach probability and model risk rank score.,Assign an experienced courier to handle this task immediately.,This task requires immediate attention due to its high priority and moderate risk of missing the service window. Allocate a skilled courier with experience in handling time-sensitive deliveries.,medium,0,0.8,0.0,1.0,1.0,0.69
30,P-3200455,Yantai,16,0,High,0.047572125769359,0.9885,0.6941916666666667,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0476.,The model risk rank score of 0.9885 indicates high risk potential.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,Ensure the courier is aware of the high urgency score and expedite the pickup process.,medium,0,0.8,1.0,1.0,1.0,0.94
31,P-4290050,Shanghai,0,0,High,0.0343098893807217,0.9655,0.6934083333333333,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0343.,"The model risk rank score (0.9655) indicates high risk, while the intervention priority is set to High.",Assign an experienced courier with a backup route ready.,Task P-4290050 in Shanghai has a high urgency and risk of delay; prioritize its delivery.,high,0,0.8,1.0,1.0,1.0,0.94
32,P-2297574,Chongqing,3,0,High,0.0234319242829116,0.9005,0.6908249999999999,ollama,Moderate risk of package delay due to predicted breach probability and model risk rank score.,Predicted breach probability (0.0234) and model risk rank score (0.9005) indicate potential service window miss.,Assign priority dispatch for immediate pickup.,"High-risk task, prioritize this pickup to avoid delay. Use fastest available courier.",medium,0,0.8,1.0,1.0,1.0,0.94
33,P-1891815,Yantai,16,0,High,0.052492003307241,0.991,0.6908166666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0525 and a high intervention priority.,The model risk rank score (0.9910) indicates a high level of risk associated with the task.,Assign an experienced courier to handle this task immediately.,This task requires immediate attention due to its high intervention priority and moderate risk of missing the service window. Allocate a skilled courier for quick delivery.,high,0,0.8,0.0,1.0,1.0,0.69
34,P-5980740,Chongqing,3,0,High,0.0218167333344543,0.882,0.6904666666666667,ollama,The task has a moderate risk of missing its service window due to a predicted breach probability and model risk rank score.,Predicted breach probability (0.0218) and Model risk rank score (0.8820) indicate potential issues.,Assign an experienced courier with minimal other tasks to handle this pickup.,"High intervention priority, urgency score, and low feasibility margin suggest immediate attention is required.",medium,0,1.0,0.0,1.0,1.0,0.75
35,P-3691153,Yantai,16,0,High,0.0449848386242924,0.986,0.6900666666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0450 and an intervention priority set to High.,"The model risk rank score of 0.9860 indicates high risk, while the time to service-window end is within a comfortable margin of 183.40 minutes.",Assign this task to a courier with immediate priority and ensure they have clear instructions for expedited delivery.,Monitor the courier's progress closely as this task requires high intervention urgency.,medium,0,1.0,1.0,1.0,1.0,1.0
36,P-3105103,Shanghai,0,0,High,0.0308086206357428,0.955,0.6899166666666666,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0308.,The model risk rank score is the strongest indicator at 0.9550.,Assign this task to an experienced courier and prioritize it over others.,"High intervention priority, high urgency score, and a feasible margin suggest immediate attention.",medium,0,1.0,1.0,1.0,1.0,1.0
37,P-5962871,Chongqing,3,0,High,0.0235445971089949,0.9025,0.6896585016879041,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0235.,Predicted breach probability and model risk rank score are the strongest indicators of potential delay.,Assign this high-priority task to an experienced courier immediately.,Task P-5962871 in Chongqing zone 3 has a moderate risk of missing its service window. Assign to top performer with immediate dispatch.,medium,0,0.8,0.0,1.0,1.0,0.69
38,P-2468010,Chongqing,3,0,High,0.0235167729291991,0.902,0.6892999999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0235.,Predicted breach probability and model risk rank score are the strongest indicators of risk.,Assign an experienced courier to handle this high-priority task immediately.,"This task requires immediate attention due to its proximity, urgency, and priority level. Allocate a skilled courier with minimal workload.",medium,0,0.8,0.0,1.0,1.0,0.69
39,P-1428868,Yantai,16,0,High,0.0413334266061081,0.9805,0.6889916666666667,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0413.,"The model risk rank score (0.9805) indicates high risk, but the intervention priority is set to High.",Assign an experienced courier and prioritize this task for immediate dispatch.,Task P-1428868 in Yantai has a moderate risk of missing its service window. Allocate resources accordingly.,medium,0,0.8,1.0,1.0,1.0,0.94
40,P-3628667,Yantai,16,0,High,0.0433666886041939,0.983,0.68895,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0434 and an intervention priority marked as High.,"The model risk rank score (0.9830) indicates high risk, suggesting the package may face issues during transportation.",Assign this task to a courier with immediate dispatch to minimize delay risks.,"High-risk task, prioritize dispatching for Yantai Zone ID 16, P-3628667. Immediate action required.",high,0,0.8,1.0,1.0,1.0,0.94
41,P-5065819,Yantai,16,0,High,0.0349887363214829,0.967,0.6885500000000001,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0350.,High intervention priority and model risk rank score highlight significant concerns.,Assign the task to an experienced courier immediately.,Task P-5065819 in Yantai has a high urgency; prioritize it for immediate pickup.,medium,0,0.8,1.0,1.0,1.0,0.94
42,P-2149405,Yantai,16,0,High,0.0375219954403246,0.974,0.6881,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0375.,"The model risk rank score (0.9740) indicates high risk, but the intervention priority is set to High.",Assign an experienced courier to handle this task immediately.,P-2149405 in Yantai has a tight deadline; prioritize it for immediate dispatch.,medium,0,0.8,1.0,1.0,1.0,0.94
43,P-2571790,Shanghai,0,0,High,0.0404703669190475,0.98,0.6878333333333333,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0405.,"The model risk rank score is the strongest evidence at 0.9800, indicating high risk.",Assign this task to an experienced courier immediately.,High urgency and risk; prioritize this task for immediate dispatch.,high,0,0.8,1.0,1.0,1.0,0.94
44,P-1005068,Yantai,16,1,High,0.0354818337326837,0.9695,0.687675,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0355.,"The model risk rank score (0.9695) indicates high risk, but the intervention priority is set to High.",Assign an experienced courier and prioritize this task for immediate dispatch.,Task P-1005068 in Yantai has a moderate risk of missing its service window. Allocate resources carefully due to high intervention urgency score (0.6877).,medium,0,0.8,1.0,1.0,1.0,0.94
45,P-716625,Yantai,16,0,High,0.0401285614401579,0.9795,0.686675,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0401.,The model risk rank score indicates a relatively high risk level.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,Task P-716625 in Yantai has a moderate risk of missing its service window. Assign to a skilled courier with priority.,medium,0,0.8,1.0,1.0,1.0,0.94
46,P-176942,Shanghai,0,0,High,0.0358146931289427,0.9705,0.6866583333333334,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0358.,The model risk rank score (0.9705) indicates high risk potential.,Assign the task to an experienced courier and prioritize it.,"Monitor the progress closely, be prepared for a possible delay.",medium,0,0.8,1.0,1.0,1.0,0.94
47,P-5660997,Yantai,16,0,High,0.0420462117831663,0.982,0.6866333333333332,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0420 and an intervention priority set to High.,The model risk rank score of 0.9820 indicates the highest level of concern among all evidence provided.,Assign this task to the most experienced courier due to its high intervention priority and predicted breach probability.,"Ensure quick dispatch as the time to service-window end is within a narrow margin, with only one task in the workload window.",high,0,1.0,0.0,1.0,1.0,0.75
48,P-1812095,Yantai,16,0,High,0.028489416141337,0.9435,0.6857749999999999,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0285.,The model risk rank score indicates that this is a relatively risky task.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,"This task has a high intervention priority, so ensure quick delivery to avoid potential breaches.",medium,0,0.8,1.0,1.0,1.0,0.94
49,P-3671664,Shanghai,0,0,High,0.0389533777374939,0.9765,0.6855583333333334,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0390.,The model risk rank score (0.9765) indicates high risk potential.,Assign the task to an experienced courier and prioritize it for immediate dispatch.,High urgency score suggests a critical need for timely delivery. Monitor progress closely.,medium,0,0.8,1.0,1.0,1.0,0.94
50,P-1017545,Yantai,16,0,High,0.0394774593132773,0.9775,0.685375,ollama,The task has a moderate risk of missing its service window with a predicted breach probability of 0.0395.,"The model risk rank score (0.9775) indicates high risk, but the intervention urgency score is relatively low (0.6854).",Assign this task to an experienced courier with a backup plan in case of delays.,High priority task at risk of breaching service window; ensure timely pickup.,medium,0,0.8,1.0,1.0,1.0,0.94
